si,dong,location,latitude,longitude,지번주소,도로명주소
제주시,건입동,"33.5143396,126.546111",33.5143396,126.54611100000001,제주특별자치도 제주시 건입동 533,제주특별자치도 제주시 사라봉동길 25
제주시,삼도이동,"33.5073470,126.521218",33.507346999999996,126.52121799999999,제주특별자치도 제주시 삼도이동 605-2,제주특별자치도 제주시 서사로5길 10-7
서귀포시,강정동,"33.2361612,126.499095",33.2361612,126.499095,제주특별자치도 서귀포시 강정동 886-5,제주특별자치도 서귀포시 이어도로 785
제주시,이도이동,"33.4981867,126.541307",33.4981867,126.541307,제주특별자치도 제주시 이도이동 394-4,제주특별자치도 제주시 정든로1길 32
제주시,화북일동,"33.5152655,126.552654",33.515265500000005,126.552654,제주특별자치도 제주시 화북일동 4810,제주특별자치도 제주시 일주동로 61
제주시,연동,"33.4787161,126.495325",33.4787161,126.495325,제주특별자치도 제주시 연동 566,제주특별자치도 제주시 삼동길 38-1
제주시,애월읍,"33.4710235,126.441133",33.4710235,126.44113300000001,제주특별자치도 제주시 애월읍 광령리 1840-2,제주특별자치도 제주시 애월읍 사메기길 169-19
제주시,노형동,"33.4830365,126.484122",33.4830365,126.484122,제주특별자치도 제주시 노형동 951,제주특별자치도 제주시 원노형8길 36
서귀포시,성산읍,"33.3812611,126.877539",33.3812611,126.87753899999998,제주특별자치도 서귀포시 성산읍 신산리 1037-5,제주특별자치도 서귀포시 성산읍 신산중앙로 5-8
제주시,연동,"33.4800879,126.491502",33.480087899999994,126.491502,제주특별자치도 제주시 연동 1491-11,제주특별자치도 제주시 국기로2길 17
서귀포시,상예동,"33.2514233,126.396316",33.2514233,126.39631599999998,제주특별자치도 서귀포시 상예동 772-1,제주특별자치도 서귀포시 예래로109번길 11-1
제주시,도남동,"33.4946855,126.523805",33.494685499999996,126.52380500000001,제주특별자치도 제주시 도남동 91,제주특별자치도 제주시 도남로10길 37
제주시,우도면,"33.5085421,126.954448",33.5085421,126.954448,제주특별자치도 제주시 우도면 연평리 2656,제주특별자치도 제주시 우도면 우도비양길 3
서귀포시,색달동,"33.2475379,126.411134",33.2475379,126.411134,제주특별자치도 서귀포시 색달동 2812-4,제주특별자치도 서귀포시 중문관광로72번길 29-29
제주시,화북이동,"33.5129044,126.557607",33.5129044,126.557607,제주특별자치도 제주시 화북이동 4965,제주특별자치도 제주시 거로중길 13-1
서귀포시,대정읍,"33.2247515,126.254200",33.2247515,126.2542,제주특별자치도 서귀포시 대정읍 하모리 1535-3,제주특별자치도 서귀포시 대정읍 동일하모로220번길 10
제주시,용담삼동,"33.5186967,126.493285",33.5186967,126.49328500000001,제주특별자치도 제주시 용담삼동 2321,제주특별자치도 제주시 어영길 10-6
제주시,조천읍,"33.5407162,126.666667",33.5407162,126.66666699999999,제주특별자치도 제주시 조천읍 함덕리 1002-34,제주특별자치도 제주시 조천읍 함덕14길 9
서귀포시,표선면,"33.3175358,126.799692",33.3175358,126.799692,제주특별자치도 서귀포시 표선면 세화리 1392-1,제주특별자치도 서귀포시 표선면 세성로 141-9
제주시,용담일동,"33.5033950,126.514091",33.503395000000005,126.514091,제주특별자치도 제주시 용담일동 2817-17,제주특별자치도 제주시 남성로8길 6-3
제주시,오라일동,"33.4968221,126.519304",33.4968221,126.519304,제주특별자치도 제주시 오라일동 2451-13,제주특별자치도 제주시 공설로9길 14
서귀포시,동홍동,"33.2503365,126.574195",33.250336499999996,126.57419499999999,제주특별자치도 서귀포시 동홍동 353-1,제주특별자치도 서귀포시 태평로526번길 17
제주시,노형동,"33.4807254,126.483400",33.4807254,126.4834,제주특별자치도 제주시 노형동 731-1,제주특별자치도 제주시 원노형로 90
서귀포시,서귀동,"33.2497605,126.563603",33.2497605,126.563603,제주특별자치도 서귀포시 서귀동 276-2,제주특별자치도 서귀포시 중앙로54번길 38
제주시,화북이동,"33.5082819,126.564369",33.50828189999999,126.564369,제주특별자치도 제주시 화북이동 3416-3,제주특별자치도 제주시 거로남6길 42
제주시,삼양이동,"33.5202922,126.581906",33.5202922,126.581906,제주특별자치도 제주시 삼양이동 2175-12,제주특별자치도 제주시 지석8길 13-5
제주시,도남동,"33.4973530,126.527308",33.497353000000004,126.527308,제주특별자치도 제주시 도남동 924-7,제주특별자치도 제주시 도남로5길 12
제주시,한림읍,"33.4102605,126.278798",33.4102605,126.278798,제주특별자치도 제주시 한림읍 한림리 1582,제주특별자치도 제주시 한림읍 한상로 32-2
서귀포시,호근동,"33.2571481,126.526920",33.2571481,126.52691999999999,제주특별자치도 서귀포시 호근동 2157,제주특별자치도 서귀포시 호근로 53
제주시,조천읍,"33.5467735,126.694161",33.5467735,126.69416100000001,제주특별자치도 제주시 조천읍 북촌리 642,제주특별자치도 제주시 조천읍 북흘로 6
제주시,용담일동,"33.5103995,126.517032",33.5103995,126.517032,제주특별자치도 제주시 용담일동 137-54,제주특별자치도 제주시 서문로2길 15
서귀포시,하예동,"33.2412570,126.382558",33.241257,126.382558,제주특별자치도 서귀포시 하예동 1962,제주특별자치도 서귀포시 예래로295번길 4-4
서귀포시,서호동,"33.2496274,126.521870",33.249627399999994,126.52186999999999,제주특별자치도 서귀포시 서호동 1545,제주특별자치도 서귀포시 서호남로 91
서귀포시,남원읍,"33.2796133,126.716612",33.2796133,126.71661200000001,제주특별자치도 서귀포시 남원읍 남원리 146-2,제주특별자치도 서귀포시 남원읍 태위로657번길 10
서귀포시,하원동,"33.2566601,126.460238",33.256660100000005,126.46023799999999,제주특별자치도 서귀포시 하원동 470,제주특별자치도 서귀포시 하원로19번길 14-3
서귀포시,대정읍,"33.2702371,126.207439",33.2702371,126.207439,제주특별자치도 서귀포시 대정읍 무릉리 2284-2,제주특별자치도 서귀포시 대정읍 무릉송당로 13
서귀포시,대정읍,"33.2560710,126.283429",33.256071,126.283429,제주특별자치도 서귀포시 대정읍 안성리 1344-1,제주특별자치도 서귀포시 대정읍 평화로 57-7
제주시,오라이동,"33.4493031,126.512903",33.4493031,126.51290300000001,제주특별자치도 제주시 오라이동 289-2,제주특별자치도 제주시 오라남로 130-16
제주시,추자면,"33.9470150,126.325525",33.947015,126.325525,제주특별자치도 제주시 추자면 신양리 326,제주특별자치도 제주시 추자면 신양3길 22
제주시,구좌읍,"33.4985157,126.765090",33.4985157,126.76508999999999,제주특별자치도 제주시 구좌읍 덕천리 산 49-3,
제주시,건입동,"33.5151992,126.536740",33.5151992,126.53674,제주특별자치도 제주시 건입동 1043-6,제주특별자치도 제주시 동문로21길 15
서귀포시,표선면,"33.3234172,126.831100",33.3234172,126.8311,제주특별자치도 서귀포시 표선면 표선리 775,제주특별자치도 서귀포시 표선면 표선동서로 217
서귀포시,표선면,"33.3946475,126.794848",33.3946475,126.794848,제주특별자치도 서귀포시 표선면 성읍리 1574,제주특별자치도 서귀포시 표선면 성읍민속로 222
제주시,이호2동,"33.4903764,126.457173",33.490376399999995,126.457173,제주특별자치도 제주시 이호2동 1962-1,제주특별자치도 제주시 오광로6길 2
제주시,일도이동,"33.5060833,126.545688",33.5060833,126.54568799999998,제주특별자치도 제주시 일도이동 46,제주특별자치도 제주시 천수로 92
제주시,화북이동,"33.5122466,126.552779",33.512246600000005,126.552779,제주특별자치도 제주시 화북이동 4925-35,제주특별자치도 제주시 문화마을길 5-4
서귀포시,성산읍,"33.4454527,126.879516",33.4454527,126.879516,제주특별자치도 서귀포시 성산읍 수산리 1123,제주특별자치도 서귀포시 성산읍 수산서남로67번길 31-13
제주시,이도이동,"33.4871594,126.534609",33.487159399999996,126.534609,제주특별자치도 제주시 이도이동 2048,제주특별자치도 제주시 구남로2길 29
제주시,노형동,"33.4868221,126.476075",33.486822100000005,126.476075,제주특별자치도 제주시 노형동 1297-4,제주특별자치도 제주시 수덕7길 9
제주시,이도이동,"33.4969836,126.533513",33.4969836,126.53351299999999,제주특별자치도 제주시 이도이동 1038-13,제주특별자치도 제주시 오복1길 20-1
제주시,연동,"33.4845114,126.498914",33.4845114,126.49891399999998,제주특별자치도 제주시 연동 314,제주특별자치도 제주시 신대로17길 26
서귀포시,토평동,"33.2724830,126.589992",33.272483,126.589992,제주특별자치도 서귀포시 토평동 3245,제주특별자치도 서귀포시 토평로74번길 2
제주시,용담이동,"33.5015503,126.509859",33.501550300000005,126.509859,제주특별자치도 제주시 용담이동 2623-6,제주특별자치도 제주시 서천길 8-5
제주시,애월읍,"33.4078887,126.337868",33.4078887,126.337868,제주특별자치도 제주시 애월읍 어음리 2803,제주특별자치도 제주시 애월읍 어림비로 329
제주시,오라일동,"33.4909531,126.517991",33.4909531,126.517991,제주특별자치도 제주시 오라일동 984-5,제주특별자치도 제주시 오남로6길 19-1
제주시,조천읍,"33.5265171,126.641727",33.52651710000001,126.641727,제주특별자치도 제주시 조천읍 조천리 1622,제주특별자치도 제주시 조천읍 조천우회로 302-1
서귀포시,대정읍,"33.2462129,126.226372",33.246212899999996,126.226372,제주특별자치도 서귀포시 대정읍 일과리 1954,제주특별자치도 서귀포시 대정읍 서림중앙로 38
제주시,오라일동,"33.4989439,126.513648",33.4989439,126.513648,제주특별자치도 제주시 오라일동 2444-34,제주특별자치도 제주시 서광로2길 11-20
제주시,도남동,"33.4939425,126.529016",33.493942499999996,126.529016,제주특별자치도 제주시 도남동 83-31,제주특별자치도 제주시 도남로11길 13
제주시,삼도이동,"33.5156804,126.521986",33.5156804,126.52198600000001,제주특별자치도 제주시 삼도이동 1222-2,제주특별자치도 제주시 북성로 27
서귀포시,서홍동,"33.2597206,126.548499",33.2597206,126.54849899999999,제주특별자치도 서귀포시 서홍동 1494-1,제주특별자치도 서귀포시 서홍로69번길 94-10
제주시,한경면,"33.3022364,126.181212",33.3022364,126.18121200000002,제주특별자치도 제주시 한경면 고산리 2881-12,제주특별자치도 제주시 한경면 고산로 12-1
제주시,용담이동,"33.5099001,126.496935",33.509900099999996,126.49693500000001,제주특별자치도 제주시 용담이동 833,
서귀포시,안덕면,"33.3191974,126.363944",33.3191974,126.36394399999999,제주특별자치도 서귀포시 안덕면 동광리 산 19,
제주시,오라삼동,"33.4980088,126.509638",33.4980088,126.509638,제주특별자치도 제주시 오라삼동 3827-3,제주특별자치도 제주시 오라로1길 34-7
서귀포시,남원읍,"33.3116060,126.759124",33.311606,126.759124,제주특별자치도 서귀포시 남원읍 신흥리 541,제주특별자치도 서귀포시 남원읍 신흥고수로 169-17
제주시,용담삼동,"33.5148032,126.507401",33.5148032,126.507401,제주특별자치도 제주시 용담삼동 528-2,제주특별자치도 제주시 용담로1길 18
제주시,화북일동,"33.5162423,126.570373",33.5162423,126.570373,제주특별자치도 제주시 화북일동 2083,제주특별자치도 제주시 청풍남8길 40-1
서귀포시,안덕면,"33.2333269,126.302019",33.233326899999994,126.302019,제주특별자치도 서귀포시 안덕면 사계리 1715-1,제주특별자치도 서귀포시 안덕면 산방로 322
제주시,노형동,"33.4852224,126.468654",33.4852224,126.468654,제주특별자치도 제주시 노형동 2585-2,제주특별자치도 제주시 광평동로 66
제주시,조천읍,"33.5298717,126.613271",33.5298717,126.613271,제주특별자치도 제주시 조천읍 신촌리 3273,제주특별자치도 제주시 조천읍 일주동로 669-20
서귀포시,성산읍,"33.3625271,126.842197",33.3625271,126.842197,제주특별자치도 서귀포시 성산읍 신풍리 489,제주특별자치도 서귀포시 성산읍 신풍하동로 53-3
제주시,노형동,"33.4836250,126.479051",33.483625,126.479051,제주특별자치도 제주시 노형동 3785,제주특별자치도 제주시 노형10길 17
제주시,이도이동,"33.4953708,126.531370",33.495370799999996,126.53137,제주특별자치도 제주시 이도이동 1085-2,제주특별자치도 제주시 신성로12길 23
서귀포시,대포동,"33.2445258,126.444524",33.244525800000005,126.444524,제주특별자치도 서귀포시 대포동 1253,제주특별자치도 서귀포시 대포동서로70번길 68
제주시,용담이동,"33.5077442,126.508415",33.5077442,126.50841499999999,제주특별자치도 제주시 용담이동 646-38,제주특별자치도 제주시 용문로17길 10
제주시,노형동,"33.4873583,126.483639",33.4873583,126.483639,제주특별자치도 제주시 노형동 949,제주특별자치도 제주시 원노형5길 19
제주시,한림읍,"33.3849345,126.225408",33.3849345,126.225408,제주특별자치도 제주시 한림읍 금능리 2316,제주특별자치도 제주시 한림읍 한림로 162
제주시,한경면,"33.3597877,126.202428",33.3597877,126.202428,제주특별자치도 제주시 한경면 판포리 2582,제주특별자치도 제주시 한경면 판포중1길 25
제주시,노형동,"33.4755875,126.462872",33.4755875,126.46287199999999,제주특별자치도 제주시 노형동 3585,제주특별자치도 제주시 월산북길 49
제주시,애월읍,"33.4636706,126.438994",33.4636706,126.438994,제주특별자치도 제주시 애월읍 광령리 1444-6,제주특별자치도 제주시 애월읍 광령7길 33
서귀포시,남원읍,"33.2906682,126.628183",33.2906682,126.628183,제주특별자치도 서귀포시 남원읍 신례리 1309,제주특별자치도 서귀포시 남원읍 신례로298번길 3-3
제주시,연동,"33.4879918,126.487424",33.4879918,126.487424,제주특별자치도 제주시 연동 251,제주특별자치도 제주시 신광로6길 26
제주시,연동,"33.4726860,126.487831",33.472685999999996,126.487831,제주특별자치도 제주시 연동 1344,제주특별자치도 제주시 은수길 41
제주시,한림읍,"33.4130724,126.269778",33.4130724,126.269778,제주특별자치도 제주시 한림읍 한림리 558-5,제주특별자치도 제주시 한림읍 한림상로 170-1
제주시,애월읍,"33.4555893,126.433914",33.4555893,126.43391399999999,제주특별자치도 제주시 애월읍 광령리 2343,제주특별자치도 제주시 애월읍 광령2길 17-22
제주시,외도이동,"33.4940056,126.429644",33.4940056,126.429644,제주특별자치도 제주시 외도이동 1923-1,제주특별자치도 제주시 일주서로 7335-7
제주시,한림읍,"33.4122087,126.262534",33.4122087,126.262534,제주특별자치도 제주시 한림읍 한림리 1582,제주특별자치도 제주시 한림읍 한림로6길 18-3
서귀포시,대정읍,"33.2565927,126.209533",33.2565927,126.20953300000001,제주특별자치도 서귀포시 대정읍 영락리 1304-1,제주특별자치도 서귀포시 대정읍 영락하동로 12
서귀포시,서홍동,"33.2436028,126.553807",33.2436028,126.553807,제주특별자치도 서귀포시 서홍동 637,제주특별자치도 서귀포시 남성로 131-5
서귀포시,성산읍,"33.3444768,126.853689",33.344476799999995,126.85368899999999,제주특별자치도 서귀포시 성산읍 신천리 239-1,제주특별자치도 서귀포시 성산읍 신천로23번길 4-7
제주시,이도이동,"33.4940722,126.536530",33.4940722,126.53653,제주특별자치도 제주시 이도이동 1078-14,제주특별자치도 제주시 남광북3길 14-12
제주시,일도이동,"33.5085180,126.529091",33.508518,126.529091,제주특별자치도 제주시 일도이동 1043-20,제주특별자치도 제주시 삼성로5길 24
서귀포시,회수동,"33.2662699,126.444966",33.2662699,126.444966,제주특별자치도 서귀포시 회수동 281-1,제주특별자치도 서귀포시 1100로 211
제주시,일도이동,"33.5081069,126.538370",33.508106899999994,126.53837,제주특별자치도 제주시 일도이동 353-36,제주특별자치도 제주시 고마로10길 17
제주시,조천읍,"33.4879387,126.683019",33.4879387,126.68301899999999,제주특별자치도 제주시 조천읍 와산리 1707,제주특별자치도 제주시 조천읍 와산3길 24
제주시,도두일동,"33.5042433,126.464686",33.5042433,126.46468600000001,제주특별자치도 제주시 도두일동 2634,제주특별자치도 제주시 도두항서5길 10
서귀포시,대정읍,"33.2718845,126.279239",33.2718845,126.27923899999999,제주특별자치도 서귀포시 대정읍 안성리 2028-5,제주특별자치도 서귀포시 대정읍 구억중앙로 34-12
제주시,이도이동,"33.5011640,126.542514",33.501164,126.54251399999998,제주특별자치도 제주시 이도이동 411-9,제주특별자치도 제주시 천수로6길 34-8
제주시,삼도이동,"33.5052857,126.523770",33.5052857,126.52377,제주특별자치도 제주시 삼도이동 300-18,제주특별자치도 제주시 중앙로26길 15-1
제주시,이도일동,"33.5076430,126.527350",33.507643,126.52735,제주특별자치도 제주시 이도일동 1583,제주특별자치도 제주시 오현길 24
제주시,한림읍,"33.3614279,126.243460",33.361427899999995,126.24346000000001,제주특별자치도 제주시 한림읍 금능리 502,제주특별자치도 제주시 한림읍 금능농공길 28-13
제주시,한림읍,"33.4188220,126.265912",33.418822,126.26591200000001,제주특별자치도 제주시 한림읍 대림리 1885,제주특별자치도 제주시 한림읍 대림2길 14
제주시,용담이동,"33.5083006,126.506501",33.5083006,126.506501,제주특별자치도 제주시 용담이동 632-8,제주특별자치도 제주시 용문로17길 32
제주시,도남동,"33.4969346,126.523871",33.4969346,126.523871,제주특별자치도 제주시 도남동 903-12,제주특별자치도 제주시 서사로23길 42-16
제주시,이도이동,"33.5008056,126.531257",33.50080560000001,126.53125700000001,제주특별자치도 제주시 이도이동 1176-32,제주특별자치도 제주시 동광로2길 9-5
제주시,도련1동,"33.5154679,126.583281",33.5154679,126.583281,제주특별자치도 제주시 도련1동 1910,제주특별자치도 제주시 화삼로 89
제주시,월평동,"33.4703308,126.574655",33.4703308,126.574655,제주특별자치도 제주시 월평동 977,제주특별자치도 제주시 월평3길 30-1
제주시,일도이동,"33.5070954,126.542141",33.5070954,126.54214099999999,제주특별자치도 제주시 일도이동 454,제주특별자치도 제주시 천수동로2길 8
제주시,화북일동,"33.5136005,126.561943",33.5136005,126.561943,제주특별자치도 제주시 화북일동 2167,제주특별자치도 제주시 선반로6길 18
제주시,한림읍,"33.4216295,126.275219",33.4216295,126.27521899999999,제주특별자치도 제주시 한림읍 대림리 1694-8,제주특별자치도 제주시 한림읍 한수풀로 121
제주시,노형동,"33.4924135,126.475819",33.4924135,126.475819,제주특별자치도 제주시 노형동 1030-5,제주특별자치도 제주시 월랑북2길 10-1
제주시,도평동,"33.4830582,126.452312",33.4830582,126.452312,제주특별자치도 제주시 도평동 772-1,제주특별자치도 제주시 신산마을길 136-54
제주시,노형동,"33.4873967,126.466562",33.4873967,126.46656200000001,제주특별자치도 제주시 노형동 3772,제주특별자치도 제주시 월광로 77
서귀포시,남원읍,"33.2882316,126.708998",33.288231599999996,126.708998,제주특별자치도 서귀포시 남원읍 남원리 2490,제주특별자치도 서귀포시 남원읍 남한로153번길 42
제주시,연동,"33.4871248,126.498305",33.487124800000004,126.498305,제주특별자치도 제주시 연동 313,제주특별자치도 제주시 문송2길 10-1
제주시,오등동,"33.4430668,126.552990",33.443066800000004,126.55299,제주특별자치도 제주시 오등동 산 49-1,
제주시,삼도일동,"33.5007421,126.521856",33.500742100000004,126.521856,제주특별자치도 제주시 삼도일동 551-3,제주특별자치도 제주시 서광로21길 7
제주시,화북일동,"33.5169058,126.564233",33.5169058,126.564233,제주특별자치도 제주시 화북일동 3932-2,제주특별자치도 제주시 청풍남2길 19
서귀포시,남원읍,"33.2768357,126.702442",33.2768357,126.70244199999999,제주특별자치도 서귀포시 남원읍 남원리 2350-1,제주특별자치도 서귀포시 남원읍 남원체육관로 148-15
제주시,월평동,"33.4509230,126.574448",33.450922999999996,126.574448,제주특별자치도 제주시 월평동 748-2,제주특별자치도 제주시 첨단로동길 106
서귀포시,토평동,"33.2537079,126.582952",33.253707899999995,126.582952,제주특별자치도 서귀포시 토평동 3245-48,제주특별자치도 서귀포시 검은여로129번길 16
제주시,연동,"33.4887556,126.493605",33.488755600000005,126.493605,제주특별자치도 제주시 연동 292,제주특별자치도 제주시 신대로12길 30
제주시,일도이동,"33.5041097,126.544077",33.5041097,126.544077,제주특별자치도 제주시 일도이동 47-1,제주특별자치도 제주시 연수로5길 16
제주시,한림읍,"33.4002475,126.293028",33.4002475,126.293028,제주특별자치도 제주시 한림읍 상대리 4580,제주특별자치도 제주시 한림읍 상대6길 37-7
제주시,일도이동,"33.5128131,126.536843",33.5128131,126.53684299999999,제주특별자치도 제주시 일도이동 1050-1,제주특별자치도 제주시 동문로20길 13
제주시,한림읍,"33.4278517,126.267117",33.4278517,126.267117,제주특별자치도 제주시 한림읍 수원리 1027-7,제주특별자치도 제주시 한림읍 수원7길 35
서귀포시,안덕면,"33.2592483,126.307619",33.2592483,126.30761899999999,제주특별자치도 서귀포시 안덕면 덕수리 3004,제주특별자치도 서귀포시 안덕면 덕수동로25번길 42-11
제주시,삼도일동,"33.5077458,126.518449",33.507745799999995,126.518449,제주특별자치도 제주시 삼도일동 795-21,제주특별자치도 제주시 충효4길 8
서귀포시,성산읍,"33.4065340,126.900390",33.406534,126.90038999999999,제주특별자치도 서귀포시 성산읍 온평리 871,제주특별자치도 서귀포시 성산읍 온평애향로40번길 8
제주시,이도이동,"33.4899899,126.541634",33.4899899,126.541634,제주특별자치도 제주시 이도이동 1982-24,제주특별자치도 제주시 남광로2길 43-18
서귀포시,하효동,"33.2538578,126.616719",33.2538578,126.61671899999999,제주특별자치도 서귀포시 하효동 1460,제주특별자치도 서귀포시 칠십리로 693-8
제주시,이도일동,"33.5018197,126.525620",33.5018197,126.52561999999999,제주특별자치도 제주시 이도일동 1650-8,제주특별자치도 제주시 광양4길 30-1
제주시,한림읍,"33.4404036,126.289243",33.4404036,126.289243,제주특별자치도 제주시 한림읍 귀덕리 2994,제주특별자치도 제주시 한림읍 귀덕8길 4-7
서귀포시,대정읍,"33.2650786,126.257402",33.2650786,126.257402,제주특별자치도 서귀포시 대정읍 신평리 398-4,제주특별자치도 서귀포시 대정읍 신평로 43-1
제주시,이도일동,"33.5067283,126.526342",33.5067283,126.526342,제주특별자치도 제주시 이도일동 1706-4,제주특별자치도 제주시 고전길 6-8
제주시,노형동,"33.4775855,126.480404",33.477585499999996,126.48040400000001,제주특별자치도 제주시 노형동 766,제주특별자치도 제주시 진군3길 3
제주시,추자면,"33.9625124,126.295614",33.9625124,126.29561399999999,제주특별자치도 제주시 추자면 대서리 147-5,제주특별자치도 제주시 추자면 추자로 39
서귀포시,성산읍,"33.4360765,126.868034",33.4360765,126.86803400000001,제주특별자치도 서귀포시 성산읍 수산리 4764,제주특별자치도 서귀포시 성산읍 서성일로 818-1
제주시,일도일동,"33.5119688,126.529030",33.511968800000005,126.52903,제주특별자치도 제주시 일도일동 1109-3,제주특별자치도 제주시 신산로2길 27-2
제주시,이도일동,"33.5090537,126.524886",33.5090537,126.52488600000001,제주특별자치도 제주시 이도일동 1539-3,제주특별자치도 제주시 중앙로17길 10-5
제주시,조천읍,"33.4670024,126.706529",33.4670024,126.706529,제주특별자치도 제주시 조천읍 선흘리 1789,제주특별자치도 제주시 조천읍 선교로 434-2
제주시,건입동,"33.5173688,126.528904",33.5173688,126.528904,제주특별자치도 제주시 건입동,제주특별자치도 제주시 임항로 37-6
제주시,아라일동,"33.4813208,126.538666",33.4813208,126.53866599999999,제주특별자치도 제주시 아라일동 3000,제주특별자치도 제주시 구산로6길 24-1
제주시,화북일동,"33.5197569,126.576848",33.5197569,126.576848,제주특별자치도 제주시 화북일동 9-3,제주특별자치도 제주시 동화로1길 33
서귀포시,안덕면,"33.3080140,126.337797",33.308014,126.337797,제주특별자치도 서귀포시 안덕면 동광리 963,제주특별자치도 서귀포시 안덕면 동광본동로 16-3
제주시,해안동,"33.4644310,126.451456",33.464431,126.45145600000001,제주특별자치도 제주시 해안동 2337,제주특별자치도 제주시 해안마을북길 13-17
제주시,한경면,"33.3306254,126.261265",33.330625399999995,126.261265,제주특별자치도 제주시 한경면 저지리 2814,제주특별자치도 제주시 한경면 저지6길 25-30
제주시,아라이동,"33.4886709,126.546476",33.488670899999995,126.546476,제주특별자치도 제주시 아라이동 1270-11,제주특별자치도 제주시 간월동로5길 54-3
제주시,구좌읍,"33.5239639,126.814229",33.5239639,126.814229,제주특별자치도 제주시 구좌읍 한동리 2657,제주특별자치도 제주시 구좌읍 한동로 209-9
서귀포시,서귀동,"33.2508429,126.557555",33.2508429,126.55755500000001,제주특별자치도 서귀포시 서귀동 343,제주특별자치도 서귀포시 서문로38번길 18-12
제주시,삼양일동,"33.5285287,126.589732",33.5285287,126.58973200000001,제주특별자치도 제주시 삼양일동 1580-13,제주특별자치도 제주시 원당로9길 29-2
제주시,도남동,"33.4857026,126.528408",33.4857026,126.52840800000001,제주특별자치도 제주시 도남동 165,제주특별자치도 제주시 원남6길 52-8
제주시,일도이동,"33.5081329,126.535143",33.5081329,126.53514299999999,제주특별자치도 제주시 일도이동 169,제주특별자치도 제주시 동광로15길 39-1
서귀포시,남원읍,"33.2986101,126.608510",33.298610100000005,126.60851000000001,제주특별자치도 서귀포시 남원읍 하례리 1759,제주특별자치도 서귀포시 남원읍 하례돈야로 75-22
제주시,외도일동,"33.4881265,126.428615",33.4881265,126.428615,제주특별자치도 제주시 외도일동 493-13,제주특별자치도 제주시 우령6길 36-1
제주시,한림읍,"33.4191234,126.263632",33.4191234,126.263632,제주특별자치도 제주시 한림읍 대림리 2019-2,제주특별자치도 제주시 한림읍 대림1길 8
제주시,오라일동,"33.4936775,126.516826",33.493677500000004,126.516826,제주특별자치도 제주시 오라일동 1002-1,제주특별자치도 제주시 오라로18길 16
제주시,한림읍,"33.3591729,126.295292",33.3591729,126.29529199999999,제주특별자치도 제주시 한림읍 금악리 2125-1,제주특별자치도 제주시 한림읍 중산간서로 4296-9
제주시,화북일동,"33.5221025,126.564035",33.5221025,126.564035,제주특별자치도 제주시 화북일동 1995-1,제주특별자치도 제주시 진서로6길 11-1
제주시,도남동,"33.4911567,126.526932",33.4911567,126.526932,제주특별자치도 제주시 도남동 1055,제주특별자치도 제주시 도남로16길 17
제주시,노형동,"33.4896487,126.478926",33.4896487,126.478926,제주특별자치도 제주시 노형동 1297-3,제주특별자치도 제주시 다랑곶4길 38
제주시,노형동,"33.4724633,126.485295",33.4724633,126.485295,제주특별자치도 제주시 노형동 76-1,제주특별자치도 제주시 1100로 3198-5
